Timestamp,PID.,Please select the option that best applies to you or fill in the blank.,What is your age?,Were you born in the US?,What is your ethnicity?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",I prefer to do things with others rather than on my own.,I prefer to do things the same way over and over again.,"If I try to imagine something, I find it very easy to create a picture in my mind.",I frequently get so strongly absorbed in one thing that I lose sight of other things.,I often notice small sounds when others do not.,I usually notice car number plates or similar strings of information.,"Other people frequently tell me that what I’ve said is impolite, even though I think it is polite.","When I’m reading a story, I can easily imagine what the characters might look like.",I am fascinated by dates.,"In a social group, I can easily keep track of several different people’s conversations.",I find social situations easy.,I tend to notice details that others do not.,I would rather go to a library than to a party.,I find making up stories easy.,I find myself drawn more strongly to people than to things.,"I tend to have very strong interests, which I get upset about if I can’t pursue.",I enjoy social chitchat.,"When I talk, it isn’t always easy for others to get a word in edgewise.",I am fascinated by numbers.,"When I’m reading a story, I find it difficult to work out the characters’ intentions.",I don’t particularly enjoy reading fiction.,I find it hard to make new friends.,I notice patterns in things all the time.,I would rather go to the theater than to a museum.,It does not upset me if my daily routine is disturbed.,I frequently find that I don’t know how to keep a conversation going.,I find it easy to “read between the lines” when someone is talking to me.,"I usually concentrate more on the whole picture, rather than on the small details.",I am not very good at remembering phone numbers.,I don’t usually notice small changes in a situation or a person’s appearance.,I know how to tell if someone listening to me is getting bored.,I find it easy to do more than one thing at once.,"When I talk on the phone, I’m not sure when it’s my turn to speak.",I enjoy doing things spontaneously.,I am often the last to understand the point of a joke.,I find it easy to work out what someone is thinking or feeling just by looking at their face.,"If there is an interruption, I can switch back to what I was doing very quickly.",I am good at social chitchat.,People often tell me that I keep going on and on about the same thing.,"When I was young, I used to enjoy playing games involving pretending with other children.","I like to collect information about categories of things (e.g., types of cars, birds, trains, plants).",I find it difficult to imagine what it would be like to be someone else.,I like to carefully plan any activities I participate in.,I enjoy social occasions.,I find it difficult to work out people’s intentions.,New situations make me anxious.,I enjoy meeting new people.,I am a good diplomat.,I am not very good at remembering people’s date of birth.,I find it very easy to play games with children that involve pretending.,I know when to speak about my personal problems to others.,"When I am faced with obstacles, I remember times I faced similar obstacles and overcame them.",I expect that I will do well on most things I try.,Other people find it easy to confide in me.,I find it hard to understand the non-verbal messages of other people.,Some of the major events of my life have led me to re-evaluate what is important and not important.,"When my mood changes, I see new possibilities.",Emotions are one of the things that make my life worth living.,I am aware of my emotions as I experience them.,I expect good things to happen.,I like to share my emotions with others.,"When I experience a positive emotion, I know how to make it last.",I arrange events others enjoy.,I seek out activities that make me happy.,I am aware of the non-verbal messages I send to others.,I present myself in a way that makes a good impression on others.,"When I am in a positive mood, solving problems is easy for me.","By looking at their facial expressions, I recognize the emotions people are experiencing.",I know why my emotions change.,"When I am in a positive mood, I am able to come up with new ideas.",I have control over my emotions.,I easily recognize my emotions as I experience them.,I motivate myself by imagining a good outcome to tasks I take on.,I compliment others when they have done something well.,I am aware of the non-verbal messages other people send.,"When another person tells me about an important event in his or her life, I almost feel as though I experienced this event myself.","When I feel a change in emotions, I tend to come up with new ideas.","When I am faced with a challenge, I give up because I believe I will fail.",I know what other people are feeling just by looking at them.,I help other people feel better when they are down.,I use good moods to help myself keep trying in the face of obstacles.,I can tell how people are feeling by listening to the tone of their voice.,It is difficult for me to understand why people feel the way they do.
10/18/22 10:39,PID011,Female,21,No,Black / African American,"Some college credit, no degree",Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree
10/18/22 15:29,PID013,Female,20,Yes,Asian,"Some college credit, no degree",Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree
10/18/22 16:32,PID013,Male,19,Yes,Asian,"Some college credit, no degree",Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree
10/19/22 9:36,PID015,Female,19,Yes,Hispanic/ Latinx,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree
10/19/22 10:39,PID016,Female,21,Yes,Prefer not to answer,"Some college credit, no degree",Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree
10/19/22 11:34,PID017,Male,20,Yes,White / Caucasian,"Some college credit, no degree",Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Strongly Disagree
10/19/22 13:28,PID018,Female,22,Yes,White / Caucasian,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Strongly Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree
10/20/22 9:38,PID019,Female,20,No,Asian,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree
10/20/22 11:35,PID020,Female,18,Yes,White / Caucasian,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
10/20/22 12:41,PID020,Female,21,No,Asian,"Some college credit, no degree",Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree
10/20/22 13:41,PID022,Female,23,No,Prefer not to answer,"Some college credit, no degree",Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
10/20/22 14:48,PID023,Female,22,No,Asian,"Some college credit, no degree",Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree
10/25/22 12:43,PID024,Female,23,Yes,MIXED ASIAN INDIAN AND WHITE,"Associate degree (for example: AA, AS)",Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree
10/25/22 14:40,PID025,Female,20,Yes,Black / African American,"Some college credit, no degree",Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree
10/25/22 16:36,PID026,Female,20,Yes,Hispanic/ Latinx,"Associate degree (for example: AA, AS)",Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree
10/26/22 9:46,PID027,Male,20,No,Hispanic/ Latinx,"Some college credit, no degree",Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree
